feedback_id,subscription_id,user_id,feedback_text,rating
1,117,1289,Cancelled due to not enough content,4
2,81,604,Cancelled due to found alternative,1
3,230,734,Cancelled due to found alternative,1
4,264,462,Cancelled due to not enough content,2
5,151,247,Cancelled due to technical issues,2
6,49,362,Cancelled due to not enough content,5
7,267,1205,Cancelled due to too expensive,5
8,204,1722,Cancelled due to not enough content,4
9,250,1149,Cancelled due to found alternative,5
10,69,1246,Cancelled due to technical issues,4
11,46,535,Cancelled due to too expensive,3
12,122,1192,Cancelled due to technical issues,5
13,156,617,Cancelled due to too expensive,5
14,45,109,Cancelled due to too expensive,3
15,256,1664,Cancelled due to too expensive,4
16,140,158,Cancelled due to too expensive,1
17,43,1750,Cancelled due to not enough content,4
18,194,795,Cancelled due to found alternative,4
19,64,1007,Cancelled due to found alternative,2
20,60,500,Cancelled due to found alternative,3
21,154,1049,Cancelled due to too expensive,5
22,9,1492,Cancelled due to technical issues,2
23,58,1488,Cancelled due to technical issues,5
24,246,250,Cancelled due to not enough content,1
25,17,399,Cancelled due to too expensive,5
26,272,1632,Cancelled due to technical issues,4
27,155,1463,Cancelled due to too expensive,3
28,91,724,Cancelled due to too expensive,2
29,214,1484,Cancelled due to technical issues,3
30,271,873,Cancelled due to not enough content,5
31,193,329,Cancelled due to found alternative,1
32,159,1638,Cancelled due to technical issues,1
33,83,1538,Cancelled due to too expensive,5
34,172,1292,Cancelled due to not enough content,2
35,104,870,Cancelled due to found alternative,1
36,134,1410,Cancelled due to technical issues,4
37,114,643,Cancelled due to not enough content,4
38,65,951,Cancelled due to too expensive,2
39,98,1259,Cancelled due to not enough content,4
40,203,1242,Cancelled due to found alternative,1
41,183,394,Cancelled due to technical issues,4
42,278,857,Cancelled due to technical issues,1
43,212,1594,Cancelled due to technical issues,5
44,174,837,Cancelled due to technical issues,1
45,124,420,Cancelled due to technical issues,1
46,39,958,Cancelled due to found alternative,2
47,222,572,Cancelled due to found alternative,4
48,270,37,Cancelled due to technical issues,3
49,86,1059,Cancelled due to technical issues,2
50,234,38,Cancelled due to found alternative,2
51,88,185,Cancelled due to too expensive,5
52,92,1253,Cancelled due to not enough content,2
53,55,1054,Cancelled due to not enough content,1
54,235,219,Cancelled due to not enough content,5
55,5,1084,Cancelled due to found alternative,3
56,242,753,Cancelled due to too expensive,4
57,224,1436,Cancelled due to found alternative,2
58,251,1528,Cancelled due to technical issues,5
59,15,303,Cancelled due to not enough content,2
60,112,762,Cancelled due to too expensive,2
61,262,1568,Cancelled due to not enough content,1
62,35,287,Cancelled due to found alternative,3
63,144,1134,Cancelled due to not enough content,3
64,16,553,Cancelled due to found alternative,2
