content_id,title,genre,duration_minutes,is_live
1,Title_1,Action,34,0
2,Title_2,Drama,73,0
3,Title_3,Comedy,120,0
4,Title_4,Action,27,0
5,Title_5,Kabaddi,72,0
6,Title_6,Comedy,79,0
7,Title_7,Comedy,127,0
8,Title_8,Action,24,0
9,Title_9,Football,122,0
10,Title_10,Kabaddi,25,0
11,Title_11,Action,128,0
12,Title_12,Kabaddi,135,0
13,Title_13,Kabaddi,113,1
14,Title_14,Comedy,66,0
15,Title_15,Drama,118,0
16,Title_16,Kabaddi,74,0
17,Title_17,Documentary,71,0
18,Title_18,Comedy,163,0
19,Title_19,Football,32,0
20,Title_20,Drama,133,0
21,Title_21,Documentary,143,0
22,Title_22,Documentary,125,0
23,Title_23,Football,177,1
24,Title_24,Drama,166,0
25,Title_25,Comedy,164,1
26,Title_26,Cricket,139,0
27,Title_27,Drama,82,0
28,Title_28,Football,38,1
29,Title_29,Documentary,111,0
30,Title_30,Comedy,77,0
31,Title_31,Drama,109,0
32,Title_32,Cricket,136,0
33,Title_33,Cricket,81,0
34,Title_34,Kabaddi,42,0
35,Title_35,Kabaddi,146,0
36,Title_36,Action,156,0
37,Title_37,Football,159,0
38,Title_38,Drama,148,0
39,Title_39,Drama,77,0
40,Title_40,Action,141,0
41,Title_41,Documentary,20,0
42,Title_42,Documentary,53,0
43,Title_43,Action,115,1
44,Title_44,Documentary,145,0
45,Title_45,Kabaddi,137,0
46,Title_46,Drama,67,0
47,Title_47,Action,108,0
48,Title_48,Drama,136,0
49,Title_49,Cricket,148,0
50,Title_50,Kabaddi,35,0
51,Title_51,Comedy,88,0
52,Title_52,Kabaddi,41,0
53,Title_53,Action,112,1
54,Title_54,Comedy,95,0
55,Title_55,Cricket,173,0
56,Title_56,Action,163,1
57,Title_57,Football,105,0
58,Title_58,Drama,48,0
59,Title_59,Cricket,88,1
60,Title_60,Drama,66,0
61,Title_61,Documentary,113,0
62,Title_62,Football,163,0
63,Title_63,Football,104,0
64,Title_64,Cricket,58,0
65,Title_65,Football,119,0
66,Title_66,Comedy,52,1
67,Title_67,Football,120,0
68,Title_68,Drama,42,0
69,Title_69,Drama,29,0
70,Title_70,Action,88,0
71,Title_71,Drama,119,0
72,Title_72,Action,53,0
73,Title_73,Drama,157,0
74,Title_74,Comedy,166,0
75,Title_75,Action,115,1
76,Title_76,Kabaddi,20,0
77,Title_77,Documentary,88,0
78,Title_78,Cricket,23,0
79,Title_79,Drama,35,0
80,Title_80,Football,43,0
81,Title_81,Drama,99,0
82,Title_82,Football,21,0
83,Title_83,Documentary,147,0
84,Title_84,Documentary,179,0
85,Title_85,Documentary,103,0
86,Title_86,Football,171,0
87,Title_87,Drama,159,0
88,Title_88,Documentary,143,0
89,Title_89,Comedy,52,0
90,Title_90,Action,120,0
91,Title_91,Football,31,0
92,Title_92,Football,86,0
93,Title_93,Drama,84,1
94,Title_94,Football,93,0
95,Title_95,Football,62,0
96,Title_96,Documentary,63,0
97,Title_97,Drama,48,1
98,Title_98,Documentary,160,0
99,Title_99,Action,31,0
100,Title_100,Action,114,0
101,Title_101,Documentary,65,0
102,Title_102,Action,149,0
103,Title_103,Drama,54,1
104,Title_104,Cricket,100,1
105,Title_105,Documentary,109,0
106,Title_106,Comedy,27,0
107,Title_107,Comedy,112,1
108,Title_108,Football,173,0
109,Title_109,Action,109,0
110,Title_110,Comedy,134,0
111,Title_111,Football,124,0
112,Title_112,Cricket,154,0
113,Title_113,Drama,77,0
114,Title_114,Drama,133,1
115,Title_115,Drama,94,1
116,Title_116,Comedy,176,0
117,Title_117,Cricket,139,0
118,Title_118,Comedy,40,1
119,Title_119,Action,157,0
120,Title_120,Comedy,120,0
121,Title_121,Cricket,171,1
122,Title_122,Cricket,118,1
123,Title_123,Action,55,0
124,Title_124,Cricket,115,0
125,Title_125,Cricket,171,0
126,Title_126,Drama,170,0
127,Title_127,Action,56,0
128,Title_128,Kabaddi,31,0
129,Title_129,Kabaddi,132,0
130,Title_130,Cricket,32,0
131,Title_131,Kabaddi,42,0
132,Title_132,Kabaddi,118,0
133,Title_133,Cricket,124,1
134,Title_134,Kabaddi,49,0
135,Title_135,Comedy,36,0
136,Title_136,Football,132,0
137,Title_137,Action,81,0
138,Title_138,Football,103,0
139,Title_139,Cricket,131,0
140,Title_140,Drama,105,0
141,Title_141,Action,160,0
142,Title_142,Cricket,38,0
143,Title_143,Drama,119,0
144,Title_144,Football,159,1
145,Title_145,Cricket,166,0
146,Title_146,Action,95,0
147,Title_147,Action,28,0
148,Title_148,Documentary,47,0
149,Title_149,Comedy,147,0
150,Title_150,Kabaddi,71,0
151,Title_151,Drama,102,1
152,Title_152,Documentary,130,0
153,Title_153,Kabaddi,163,0
154,Title_154,Kabaddi,136,0
155,Title_155,Cricket,88,1
156,Title_156,Kabaddi,118,0
157,Title_157,Comedy,159,0
158,Title_158,Action,44,0
159,Title_159,Documentary,142,0
160,Title_160,Kabaddi,72,0
161,Title_161,Cricket,170,1
162,Title_162,Comedy,163,0
163,Title_163,Football,76,0
164,Title_164,Action,58,0
165,Title_165,Action,128,0
166,Title_166,Documentary,61,0
167,Title_167,Action,161,0
168,Title_168,Kabaddi,141,0
169,Title_169,Cricket,152,0
170,Title_170,Action,94,0
171,Title_171,Action,165,0
172,Title_172,Football,95,0
173,Title_173,Football,28,0
174,Title_174,Drama,93,0
175,Title_175,Comedy,164,0
176,Title_176,Kabaddi,26,1
177,Title_177,Action,160,1
178,Title_178,Action,156,0
179,Title_179,Cricket,46,0
180,Title_180,Drama,141,0
181,Title_181,Comedy,24,0
182,Title_182,Drama,48,0
183,Title_183,Documentary,102,0
184,Title_184,Comedy,155,0
185,Title_185,Action,128,0
186,Title_186,Action,84,0
187,Title_187,Comedy,105,0
188,Title_188,Action,164,0
189,Title_189,Kabaddi,90,0
190,Title_190,Comedy,64,0
191,Title_191,Drama,151,0
192,Title_192,Comedy,55,0
193,Title_193,Action,89,0
194,Title_194,Kabaddi,178,0
195,Title_195,Kabaddi,38,0
196,Title_196,Documentary,127,0
197,Title_197,Drama,110,0
198,Title_198,Football,109,0
199,Title_199,Football,38,1
200,Title_200,Comedy,58,0
201,Title_201,Documentary,145,0
202,Title_202,Cricket,160,0
203,Title_203,Comedy,145,0
204,Title_204,Documentary,77,0
205,Title_205,Drama,167,1
206,Title_206,Drama,80,0
207,Title_207,Drama,146,0
208,Title_208,Drama,124,0
209,Title_209,Drama,20,0
210,Title_210,Documentary,150,0
211,Title_211,Documentary,111,0
212,Title_212,Kabaddi,132,0
213,Title_213,Football,172,1
214,Title_214,Action,75,0
215,Title_215,Drama,136,0
216,Title_216,Cricket,153,0
217,Title_217,Action,77,0
218,Title_218,Documentary,63,0
219,Title_219,Cricket,179,0
220,Title_220,Cricket,80,0
221,Title_221,Cricket,66,0
222,Title_222,Kabaddi,168,0
223,Title_223,Documentary,99,0
224,Title_224,Cricket,137,0
225,Title_225,Drama,166,1
226,Title_226,Comedy,39,0
227,Title_227,Cricket,165,0
228,Title_228,Kabaddi,66,1
229,Title_229,Action,68,0
230,Title_230,Documentary,33,1
231,Title_231,Kabaddi,162,0
232,Title_232,Cricket,178,0
233,Title_233,Documentary,20,0
234,Title_234,Comedy,136,0
235,Title_235,Cricket,73,0
