event_id,user_id,session_id,content_id,event_name,event_timestamp
1,1,8,362,search,2026-01-13 14:12:00
2,1,13,301,playback_start,2026-03-16 19:25:00
3,1,,254,search,2025-09-17 00:09:00
4,1,16,84,playback_start,2026-04-17 11:09:00
5,1,8,,trial_started,2026-01-13 14:08:00
6,1,3,42,app_open,2025-10-19 01:00:00
7,1,17,,subscription_purchased,2026-01-01 05:06:00
8,1,3,44,search,2025-10-19 01:08:00
9,1,2,233,subscription_purchased,2025-10-05 06:25:00
10,1,3,,playback_complete,2025-10-19 01:10:00
11,1,9,399,app_open,2026-03-24 12:28:00
12,1,3,412,content_click,2025-10-19 01:05:00
13,1,16,496,app_open,2026-04-17 11:23:00
14,1,2,265,playback_start,2025-10-05 06:18:00
15,1,7,,content_click,2025-10-18 08:13:00
16,1,6,237,app_open,2026-01-09 22:21:00
17,1,,,playback_start,2026-01-22 00:19:00
18,2,27,311,content_click,2025-04-20 15:12:00
19,2,,,content_click,2025-04-12 00:15:00
20,2,22,,trial_started,2025-11-16 07:04:00
21,2,34,14,playback_complete,2026-05-01 11:20:00
22,2,,,subscription_purchased,2025-12-13 00:06:00
23,2,26,226,playback_start,2025-05-01 21:11:00
24,2,,458,app_open,2025-05-28 00:17:00
25,2,34,,playback_complete,2026-05-01 11:23:00
26,2,37,71,subscription_purchased,2026-02-14 21:16:00
27,2,22,215,content_click,2025-11-16 07:14:00
28,2,35,,subscription_purchased,2026-07-25 08:29:00
29,2,27,,subscription_purchased,2025-04-20 15:03:00
30,2,32,147,subscription_cancelled,2026-02-17 22:19:00
31,2,29,,content_click,2025-10-05 19:07:00
32,3,38,,app_open,2026-07-14 18:26:00
33,3,,,content_click,2026-02-27 00:07:00
34,3,38,,content_click,2026-07-14 18:00:00
35,3,55,247,content_click,2026-05-04 13:00:00
36,3,51,,trial_started,2026-06-04 21:10:00
37,3,42,88,search,2026-02-16 15:04:00
38,3,55,11,trial_started,2026-05-04 13:03:00
39,3,48,112,content_click,2026-03-09 16:26:00
40,3,42,74,trial_started,2026-02-16 15:07:00
41,3,42,394,playback_complete,2026-02-16 15:08:00
42,3,54,479,search,2026-09-03 09:06:00
43,4,75,,subscription_purchased,2026-04-21 14:18:00
44,4,63,352,trial_started,2026-04-24 05:21:00
45,4,74,,playback_complete,2026-04-04 18:30:00
46,4,70,,subscription_cancelled,2026-01-06 07:03:00
47,4,74,261,playback_complete,2026-04-04 18:22:00
48,4,61,,subscription_cancelled,2026-07-23 21:07:00
49,4,,,content_click,2026-05-03 00:22:00
50,4,66,,subscription_purchased,2026-07-21 04:11:00
51,4,62,366,app_open,2026-05-24 16:04:00
52,4,,,subscription_cancelled,2026-08-13 00:29:00
53,4,66,,playback_start,2026-07-21 04:05:00
54,4,72,252,subscription_purchased,2026-04-28 13:06:00
55,4,69,109,subscription_cancelled,2026-05-12 20:20:00
56,4,65,,app_open,2026-04-21 03:04:00
57,4,58,,trial_started,2026-02-27 10:26:00
58,4,72,223,playback_complete,2026-04-28 13:15:00
59,5,89,298,subscription_cancelled,2026-01-31 02:30:00
60,5,,,playback_start,2025-12-17 00:23:00
61,5,85,114,trial_started,2026-01-09 06:07:00
62,5,79,371,subscription_purchased,2025-12-06 15:05:00
63,5,79,375,subscription_purchased,2025-12-06 15:10:00
64,5,92,,content_click,2025-11-29 00:12:00
65,5,36046,347,app_open,2026-06-19 08:03:00
66,5,90,19,playback_start,2026-07-07 10:04:00
67,5,86,233,playback_start,2026-04-24 13:21:00
68,5,92,499,subscription_cancelled,2025-11-29 00:22:00
69,5,80,,app_open,2026-02-07 16:15:00
70,5,92,,playback_start,2025-11-29 00:10:00
71,5,92,,subscription_cancelled,2025-11-29 00:14:00
72,6,97,,subscription_cancelled,2025-10-11 19:01:00
73,6,103,,app_open,2025-11-16 23:08:00
74,6,109,205,subscription_cancelled,2025-12-11 07:30:00
75,6,110,,app_open,2026-07-27 11:28:00
76,6,99,,content_click,2026-03-13 12:09:00
77,6,115,471,app_open,2025-09-08 01:23:00
