assignment_id,experiment_id,user_id,variant,assignment_timestamp
1,3,1432,treatment,2026-04-05 00:00:00
2,3,1514,control,2026-02-03 00:00:00
3,3,1294,treatment,2026-07-09 00:00:00
4,2,112,control,2026-06-08 00:00:00
5,1,1172,treatment,2025-10-27 00:00:00
6,3,1205,treatment,2025-11-05 00:00:00
7,1,1575,control,2026-04-12 00:00:00
8,2,1607,treatment,2025-06-23 00:00:00
9,1,538,treatment,2026-03-23 00:00:00
10,2,722,control,2025-11-25 00:00:00
11,3,655,control,2026-01-27 00:00:00
12,1,1321,control,2026-06-09 00:00:00
13,3,97,control,2025-08-24 00:00:00
14,1,1168,treatment,2025-06-13 00:00:00
15,2,1679,control,2025-06-23 00:00:00
16,3,453,treatment,2026-07-23 00:00:00
17,3,1288,treatment,2025-08-20 00:00:00
18,1,1003,control,2025-05-19 00:00:00
19,2,1209,control,2025-10-19 00:00:00
20,3,1344,treatment,2026-01-30 00:00:00
21,3,617,treatment,2025-11-26 00:00:00
22,2,192,control,2026-05-10 00:00:00
23,1,782,control,2026-02-16 00:00:00
24,2,1028,treatment,2025-07-15 00:00:00
25,1,593,control,2026-02-18 00:00:00
26,2,1082,control,2026-09-01 00:00:00
27,2,1556,treatment,2026-03-12 00:00:00
28,1,618,control,2026-05-12 00:00:00
29,1,420,treatment,2026-08-26 00:00:00
30,1,655,control,2026-01-23 00:00:00
31,2,1176,treatment,2026-03-18 00:00:00
32,2,381,control,2026-06-20 00:00:00
33,2,408,treatment,2025-11-01 00:00:00
34,1,1342,treatment,2025-08-09 00:00:00
35,2,1646,treatment,2026-09-08 00:00:00
36,1,638,treatment,2026-01-01 00:00:00
37,1,449,control,2025-12-13 00:00:00
38,1,239,control,2025-08-28 00:00:00
39,1,460,treatment,2026-07-22 00:00:00
40,3,700,treatment,2025-08-28 00:00:00
41,1,360,control,2026-03-15 00:00:00
42,3,1719,treatment,2025-08-19 00:00:00
43,1,88,control,2026-06-09 00:00:00
44,2,1180,control,2026-02-21 00:00:00
45,2,875,treatment,2026-02-26 00:00:00
46,3,1642,control,2026-02-10 00:00:00
47,2,355,treatment,2026-05-16 00:00:00
48,3,819,treatment,2026-05-18 00:00:00
49,2,691,treatment,2026-05-19 00:00:00
50,2,1620,control,2026-08-23 00:00:00
51,2,183,control,2025-06-27 00:00:00
52,3,1711,treatment,2026-02-13 00:00:00
53,1,1549,treatment,2026-02-27 00:00:00
54,2,165,control,2025-06-20 00:00:00
55,1,1697,control,2026-05-25 00:00:00
56,1,1372,control,2026-09-08 00:00:00
57,1,209,control,2025-04-17 00:00:00
58,3,1497,treatment,2025-08-29 00:00:00
59,3,586,control,2025-09-24 00:00:00
60,3,332,treatment,2025-09-08 00:00:00
61,3,286,control,2025-12-28 00:00:00
62,1,81,control,2026-05-10 00:00:00
63,1,1551,control,2026-02-08 00:00:00
64,3,209,treatment,2025-09-01 00:00:00
65,2,923,control,2026-06-22 00:00:00
66,3,1546,treatment,2026-02-11 00:00:00
67,2,1064,control,2025-06-16 00:00:00
68,2,1213,control,2025-12-05 00:00:00
69,2,1360,treatment,2025-09-25 00:00:00
70,2,469,control,2026-06-29 00:00:00
71,3,1323,control,2026-09-08 00:00:00
72,2,147,control,2025-10-29 00:00:00
73,3,846,control,2026-02-28 00:00:00
74,1,503,control,2025-11-13 00:00:00
75,2,1542,control,2025-06-23 00:00:00
76,3,95,treatment,2025-08-18 00:00:00
77,2,1100,control,2026-02-12 00:00:00
78,2,248,control,2025-08-01 00:00:00
79,2,1374,control,2026-02-26 00:00:00
80,3,469,control,2026-06-12 00:00:00
81,2,621,control,2026-07-29 00:00:00
82,2,807,control,2025-06-28 00:00:00
83,1,609,control,2025-12-15 00:00:00
84,2,1649,treatment,2025-09-27 00:00:00
85,1,1507,treatment,2026-06-30 00:00:00
86,1,509,control,2026-03-02 00:00:00
87,1,1788,control,2026-07-07 00:00:00
88,1,727,treatment,2025-11-18 00:00:00
89,2,152,control,2026-06-23 00:00:00
90,2,1726,control,2026-02-23 00:00:00
91,3,1627,control,2025-08-21 00:00:00
92,1,1760,treatment,2025-05-28 00:00:00
93,2,1631,control,2025-07-31 00:00:00
94,1,55,treatment,2026-03-28 00:00:00
95,1,328,treatment,2026-03-19 00:00:00
96,3,1600,control,2026-06-23 00:00:00
97,3,1049,control,2026-02-28 00:00:00
98,2,242,treatment,2025-06-17 00:00:00
99,3,1316,treatment,2026-09-01 00:00:00
100,3,1357,treatment,2025-08-17 00:00:00
101,3,1679,treatment,2025-09-01 00:00:00
102,3,160,treatment,2025-08-18 00:00:00
103,2,793,treatment,2026-08-22 00:00:00
104,3,1348,treatment,2026-02-12 00:00:00
105,3,556,control,2025-08-21 00:00:00
106,1,1784,treatment,2025-08-08 00:00:00
107,1,1441,control,2026-01-06 00:00:00
108,1,1479,treatment,2025-06-11 00:00:00
109,3,455,treatment,2026-06-25 00:00:00
110,1,220,treatment,2026-04-10 00:00:00
111,1,1140,control,2026-01-24 00:00:00
112,2,1738,treatment,2026-05-12 00:00:00
113,2,1339,control,2025-08-31 00:00:00
114,1,701,treatment,2025-07-05 00:00:00
115,2,1674,control,2025-09-02 00:00:00
116,2,1219,control,2026-06-19 00:00:00
117,2,1318,treatment,2025-07-05 00:00:00
118,2,287,treatment,2025-07-30 00:00:00
119,3,1459,control,2025-11-16 00:00:00
120,1,289,treatment,2025-09-10 00:00:00
121,2,86,treatment,2025-12-08 00:00:00
122,2,1690,control,2026-05-25 00:00:00
123,3,1495,treatment,2025-08-24 00:00:00
124,2,1775,control,2026-03-27 00:00:00
125,2,1319,control,2025-12-11 00:00:00
126,3,1142,control,2026-03-24 00:00:00
127,1,1702,treatment,2025-08-17 00:00:00
128,3,1622,treatment,2025-08-16 00:00:00
129,2,255,control,2025-12-10 00:00:00
130,2,1072,treatment,2025-06-25 00:00:00
131,2,879,control,2026-04-23 00:00:00
132,1,1266,control,2025-09-03 00:00:00
133,3,1791,control,2025-08-21 00:00:00
134,3,769,control,2026-02-25 00:00:00
135,1,959,treatment,2025-06-19 00:00:00
136,3,980,control,2026-03-29 00:00:00
137,2,1741,control,2025-11-28 00:00:00
138,3,810,treatment,2025-11-21 00:00:00
139,1,20,treatment,2026-06-30 00:00:00
140,1,498,treatment,2026-01-28 00:00:00
141,2,1712,treatment,2025-11-27 00:00:00
142,3,198,control,2026-06-26 00:00:00
143,3,792,control,2026-03-30 00:00:00
144,2,1131,treatment,2026-04-21 00:00:00
145,2,371,control,2026-06-15 00:00:00
146,3,1538,treatment,2026-09-01 00:00:00
147,1,230,treatment,2026-01-14 00:00:00
148,3,1635,treatment,2026-05-16 00:00:00
149,1,1789,treatment,2025-09-03 00:00:00
150,1,36,treatment,2025-12-20 00:00:00
151,2,1405,treatment,2025-06-30 00:00:00
152,3,1257,control,2026-02-22 00:00:00
153,2,1335,treatment,2025-06-25 00:00:00
154,3,877,treatment,2025-08-14 00:00:00
155,1,1093,control,2025-06-15 00:00:00
156,3,1243,control,2026-07-19 00:00:00
157,2,389,treatment,2026-02-18 00:00:00
158,2,1216,treatment,2025-07-30 00:00:00
159,2,392,treatment,2026-08-20 00:00:00
160,1,882,control,2025-04-28 00:00:00
161,1,845,treatment,2026-06-29 00:00:00
162,3,1762,control,2026-04-01 00:00:00
163,1,411,control,2026-07-11 00:00:00
