spend_id,campaign_id,spend_date,amount_spent,impressions,clicks
1,FB_JAN,2025-03-17,14923.4,16342,200
2,GOOGLE_SEARCH,2025-03-17,13116.82,31930,612
3,INSTA_REEL,2025-03-17,14348.99,14366,584
4,REFERRAL,2025-03-17,10492.97,33135,949
5,FB_JAN,2025-03-18,10561.07,2998,588
6,GOOGLE_SEARCH,2025-03-18,3871.64,2935,1673
7,INSTA_REEL,2025-03-18,7705.56,33561,2323
8,REFERRAL,2025-03-18,11766.45,3745,1471
9,FB_JAN,2025-03-19,11565.22,33149,735
10,GOOGLE_SEARCH,2025-03-19,11620.74,13603,2872
11,INSTA_REEL,2025-03-19,2029.63,6235,785
12,REFERRAL,2025-03-19,844.43,10626,2190
13,FB_JAN,2025-03-20,619.11,39540,2127
14,GOOGLE_SEARCH,2025-03-20,13589.78,38760,2579
15,INSTA_REEL,2025-03-20,4633.22,31405,1871
16,REFERRAL,2025-03-20,2852.83,43421,2475
17,FB_JAN,2025-03-21,2488.88,9109,864
18,GOOGLE_SEARCH,2025-03-21,10651.16,41549,645
19,INSTA_REEL,2025-03-21,3256.29,18553,1296
20,REFERRAL,2025-03-21,14914.55,25845,294
21,FB_JAN,2025-03-22,14806.16,35649,559
22,GOOGLE_SEARCH,2025-03-22,6255.19,29438,503
23,INSTA_REEL,2025-03-22,1326.3,13802,115
24,REFERRAL,2025-03-22,12882.3,26081,2220
25,FB_JAN,2025-03-23,2607.77,3140,2573
26,GOOGLE_SEARCH,2025-03-23,6119.35,1020,763
27,INSTA_REEL,2025-03-23,9847.68,8993,1981
28,REFERRAL,2025-03-23,8377.2,24402,268
29,FB_JAN,2025-03-24,5770.26,12027,1129
30,GOOGLE_SEARCH,2025-03-24,10124.09,8254,140
31,INSTA_REEL,2025-03-24,4003.75,25924,2803
32,REFERRAL,2025-03-24,5937.71,3072,1782
33,FB_JAN,2025-03-25,4655.7,1408,1049
34,GOOGLE_SEARCH,2025-03-25,14337.67,36777,1874
35,INSTA_REEL,2025-03-25,6146.5,21990,1285
36,REFERRAL,2025-03-25,11774.04,37838,211
37,FB_JAN,2025-03-26,2894.17,37782,809
38,GOOGLE_SEARCH,2025-03-26,4889.99,46262,1551
39,INSTA_REEL,2025-03-26,12932.37,33605,1821
40,REFERRAL,2025-03-26,14506.72,45043,2761
41,FB_JAN,2025-03-27,10633.16,13722,347
42,GOOGLE_SEARCH,2025-03-27,8755.66,30108,1030
43,INSTA_REEL,2025-03-27,6575.38,33269,151
44,REFERRAL,2025-03-27,12193.04,23193,2683
45,FB_JAN,2025-03-28,5185.35,10808,1075
46,GOOGLE_SEARCH,2025-03-28,12497.68,24287,2032
47,INSTA_REEL,2025-03-28,8526.99,7831,1971
48,REFERRAL,2025-03-28,4773.65,28627,2343
49,FB_JAN,2025-03-29,5234.1,33785,1468
50,GOOGLE_SEARCH,2025-03-29,9085.87,17722,2001
51,INSTA_REEL,2025-03-29,6976.11,39139,1245
52,REFERRAL,2025-03-29,1836.63,39498,1853
53,FB_JAN,2025-03-30,6791.17,24660,2775
54,GOOGLE_SEARCH,2025-03-30,2962.26,3700,440
55,INSTA_REEL,2025-03-30,3671.58,27054,2860
56,REFERRAL,2025-03-30,1368.31,12042,51
57,FB_JAN,2025-03-31,9535.34,18373,268
58,GOOGLE_SEARCH,2025-03-31,12666.02,36537,2872
59,INSTA_REEL,2025-03-31,12697.49,1199,905
60,REFERRAL,2025-03-31,6707.6,15899,673
61,FB_JAN,2025-04-01,3419.87,37305,278
62,GOOGLE_SEARCH,2025-04-01,10963.21,4862,258
63,INSTA_REEL,2025-04-01,11322.51,39269,240
64,REFERRAL,2025-04-01,10896.31,9874,1758
65,FB_JAN,2025-04-02,5950.82,38731,2896
66,GOOGLE_SEARCH,2025-04-02,8684.83,23463,721
67,INSTA_REEL,2025-04-02,3404.85,15979,1399
68,REFERRAL,2025-04-02,6391.17,32910,1563
69,FB_JAN,2025-04-03,595.08,33194,1185
70,GOOGLE_SEARCH,2025-04-03,11504.57,29153,1855
71,INSTA_REEL,2025-04-03,6188.9,19848,2320
72,REFERRAL,2025-04-03,4864.7,17840,2121
73,FB_JAN,2025-04-04,3872.74,30749,854
74,GOOGLE_SEARCH,2025-04-04,7363.26,5208,2137
75,INSTA_REEL,2025-04-04,5855.6,4750,655
76,REFERRAL,2025-04-04,11703.04,2075,1137
77,FB_JAN,2025-04-05,14225.54,5116,332
78,GOOGLE_SEARCH,2025-04-05,7729.64,14597,646
79,INSTA_REEL,2025-04-05,4389.03,13898,582
80,REFERRAL,2025-04-05,10776.48,29529,634
81,FB_JAN,2025-04-06,13067.63,6303,1310
82,GOOGLE_SEARCH,2025-04-06,13948.92,34276,132
83,INSTA_REEL,2025-04-06,12995.67,24510,1515
84,REFERRAL,2025-04-06,795.95,1305,1029
85,FB_JAN,2025-04-07,12664.13,37860,2993
86,GOOGLE_SEARCH,2025-04-07,7201.19,35378,2899
87,INSTA_REEL,2025-04-07,3133.57,40699,1112
88,REFERRAL,2025-04-07,2954.72,44628,1773
89,FB_JAN,2025-04-08,7735.31,2021,759
90,GOOGLE_SEARCH,2025-04-08,6453.67,23460,1928
91,INSTA_REEL,2025-04-08,4249.93,42085,2715
92,REFERRAL,2025-04-08,14028.89,12690,1863
93,FB_JAN,2025-04-09,5921.55,3864,2848
94,GOOGLE_SEARCH,2025-04-09,11347.87,41039,1644
95,INSTA_REEL,2025-04-09,3120.6,17663,356
96,REFERRAL,2025-04-09,2965.38,48014,656
97,FB_JAN,2025-04-10,10973.37,28237,2725
98,GOOGLE_SEARCH,2025-04-10,11419.04,48566,1731
99,INSTA_REEL,2025-04-10,8154.28,20654,2676
100,REFERRAL,2025-04-10,13236.88,12898,60
101,FB_JAN,2025-04-11,10276.51,21411,2430
102,GOOGLE_SEARCH,2025-04-11,2136.42,1837,1855
103,INSTA_REEL,2025-04-11,6767.05,25781,1650
104,REFERRAL,2025-04-11,1183.79,43183,2842
105,FB_JAN,2025-04-12,9336.92,11981,772
106,GOOGLE_SEARCH,2025-04-12,5366.59,26191,160
107,INSTA_REEL,2025-04-12,971.0,7964,1711
108,REFERRAL,2025-04-12,13629.24,7634,1468
109,FB_JAN,2025-04-13,7077.62,38437,912
110,GOOGLE_SEARCH,2025-04-13,4301.96,7496,2343
111,INSTA_REEL,2025-04-13,4851.32,13106,2259
112,REFERRAL,2025-04-13,8297.03,30832,2940
113,FB_JAN,2025-04-14,12336.79,39656,1147
114,GOOGLE_SEARCH,2025-04-14,8839.72,47473,1041
115,INSTA_REEL,2025-04-14,7028.02,17576,526
116,REFERRAL,2025-04-14,6752.76,17676,626
117,FB_JAN,2025-04-15,13754.92,48329,1205
118,GOOGLE_SEARCH,2025-04-15,12494.19,49694,527
119,INSTA_REEL,2025-04-15,8126.13,17238,948
120,REFERRAL,2025-04-15,12656.35,40486,729
121,FB_JAN,2025-04-16,3693.85,35197,592
122,GOOGLE_SEARCH,2025-04-16,1538.89,39436,1697
123,INSTA_REEL,2025-04-16,2439.88,16513,2698
124,REFERRAL,2025-04-16,3238.53,39602,2491
125,FB_JAN,2025-04-17,6260.94,21654,2570
126,GOOGLE_SEARCH,2025-04-17,11736.7,2226,864
127,INSTA_REEL,2025-04-17,10842.29,49173,2608
128,REFERRAL,2025-04-17,9554.84,35441,332
129,FB_JAN,2025-04-18,9450.0,6781,1207
130,GOOGLE_SEARCH,2025-04-18,4648.85,24830,1169
131,INSTA_REEL,2025-04-18,3418.84,15308,1122
132,REFERRAL,2025-04-18,2983.24,27929,2979
133,FB_JAN,2025-04-19,5536.37,21668,2666
134,GOOGLE_SEARCH,2025-04-19,12173.4,37414,626
135,INSTA_REEL,2025-04-19,12143.24,12929,1916
136,REFERRAL,2025-04-19,8759.79,9049,1278
137,FB_JAN,2025-04-20,3774.45,3926,1041
138,GOOGLE_SEARCH,2025-04-20,3025.0,36121,1637
139,INSTA_REEL,2025-04-20,10630.37,19774,2744
140,REFERRAL,2025-04-20,4009.39,14815,2057
141,FB_JAN,2025-04-21,12300.38,14887,647
142,GOOGLE_SEARCH,2025-04-21,4934.75,15955,2475
143,INSTA_REEL,2025-04-21,3001.63,34416,1306
144,REFERRAL,2025-04-21,6492.68,41961,1542
145,FB_JAN,2025-04-22,4163.88,33204,2309
146,GOOGLE_SEARCH,2025-04-22,7416.36,10230,1826
147,INSTA_REEL,2025-04-22,11100.35,31569,2669
148,REFERRAL,2025-04-22,7634.15,20448,808
149,FB_JAN,2025-04-23,2808.86,41911,285
150,GOOGLE_SEARCH,2025-04-23,7706.97,19063,1032
151,INSTA_REEL,2025-04-23,4594.69,44664,311
152,REFERRAL,2025-04-23,7683.05,27228,188
153,FB_JAN,2025-04-24,9315.57,37654,2627
154,GOOGLE_SEARCH,2025-04-24,4119.09,32034,367
155,INSTA_REEL,2025-04-24,9067.54,45782,1526
156,REFERRAL,2025-04-24,6506.73,27919,102
157,FB_JAN,2025-04-25,1694.33,33733,1303
158,GOOGLE_SEARCH,2025-04-25,2432.5,19383,2794
159,INSTA_REEL,2025-04-25,13569.56,40696,1678
160,REFERRAL,2025-04-25,11416.94,30192,1548
161,FB_JAN,2025-04-26,8971.63,2553,1789
162,GOOGLE_SEARCH,2025-04-26,7808.57,38468,2175
163,INSTA_REEL,2025-04-26,1841.58,36789,1445
164,REFERRAL,2025-04-26,12117.96,7778,495
165,FB_JAN,2025-04-27,6037.04,9001,2525
166,GOOGLE_SEARCH,2025-04-27,3211.18,12104,1223
167,INSTA_REEL,2025-04-27,8621.53,40578,1646
168,REFERRAL,2025-04-27,5785.56,37551,2776
169,FB_JAN,2025-04-28,5255.2,24442,2355
170,GOOGLE_SEARCH,2025-04-28,9723.88,10171,976
171,INSTA_REEL,2025-04-28,8651.81,23087,1253
172,REFERRAL,2025-04-28,13470.68,37553,2298
173,FB_JAN,2025-04-29,13907.2,34106,1133
174,GOOGLE_SEARCH,2025-04-29,11171.35,28698,2382
175,INSTA_REEL,2025-04-29,9830.82,15038,296
176,REFERRAL,2025-04-29,12581.76,6111,249
177,FB_JAN,2025-04-30,13121.93,48312,1272
178,GOOGLE_SEARCH,2025-04-30,10727.99,42195,1495
179,INSTA_REEL,2025-04-30,14591.38,17418,2444
180,REFERRAL,2025-04-30,10838.5,18479,209
181,FB_JAN,2025-05-01,11357.28,36912,2890
182,GOOGLE_SEARCH,2025-05-01,14581.03,8371,1037
183,INSTA_REEL,2025-05-01,8775.56,13790,2291
184,REFERRAL,2025-05-01,742.82,7340,1825
185,FB_JAN,2025-05-02,14573.3,40371,817
186,GOOGLE_SEARCH,2025-05-02,3144.05,48038,802
187,INSTA_REEL,2025-05-02,3277.45,24058,666
188,REFERRAL,2025-05-02,11954.76,48279,1334
189,FB_JAN,2025-05-03,2320.94,19326,538
190,GOOGLE_SEARCH,2025-05-03,11914.23,48213,1629
191,INSTA_REEL,2025-05-03,3790.65,14454,2515
192,REFERRAL,2025-05-03,13562.79,21883,1670
193,FB_JAN,2025-05-04,2630.0,4734,51
194,GOOGLE_SEARCH,2025-05-04,3123.32,11996,2603
195,INSTA_REEL,2025-05-04,4289.14,2048,181
196,REFERRAL,2025-05-04,12789.2,22422,376
197,FB_JAN,2025-05-05,2500.21,17129,1796
198,GOOGLE_SEARCH,2025-05-05,5816.95,20343,2203
199,INSTA_REEL,2025-05-05,4064.87,22591,2561
200,REFERRAL,2025-05-05,11566.75,19960,1598
201,FB_JAN,2025-05-06,6213.77,46842,2846
202,GOOGLE_SEARCH,2025-05-06,12600.17,6110,883
203,INSTA_REEL,2025-05-06,4286.26,19665,2533
204,REFERRAL,2025-05-06,2058.93,24964,1368
205,FB_JAN,2025-05-07,4546.02,31848,2686
206,GOOGLE_SEARCH,2025-05-07,14874.97,38108,1285
207,INSTA_REEL,2025-05-07,3283.6,22685,1109
208,REFERRAL,2025-05-07,1701.03,37908,2312
209,FB_JAN,2025-05-08,3869.95,7576,704
210,GOOGLE_SEARCH,2025-05-08,13669.57,23158,634
211,INSTA_REEL,2025-05-08,9700.39,30509,1147
212,REFERRAL,2025-05-08,11888.15,4082,1032
213,FB_JAN,2025-05-09,8043.76,29893,1843
214,GOOGLE_SEARCH,2025-05-09,10052.91,38329,1833
215,INSTA_REEL,2025-05-09,810.45,9014,2976
216,REFERRAL,2025-05-09,8938.62,48377,610
217,FB_JAN,2025-05-10,1055.26,19392,1094
218,GOOGLE_SEARCH,2025-05-10,7676.61,45628,61
219,INSTA_REEL,2025-05-10,10976.98,28835,193
220,REFERRAL,2025-05-10,4198.06,38774,1989
221,FB_JAN,2025-05-11,13131.53,34167,2452
222,GOOGLE_SEARCH,2025-05-11,4804.48,5667,1296
223,INSTA_REEL,2025-05-11,10120.29,30557,2120
224,REFERRAL,2025-05-11,2656.34,20836,1308
225,FB_JAN,2025-05-12,9448.43,32567,1305
226,GOOGLE_SEARCH,2025-05-12,13472.23,13610,2518
227,INSTA_REEL,2025-05-12,8475.57,18053,1489
228,REFERRAL,2025-05-12,9228.9,18337,580
229,FB_JAN,2025-05-13,7639.57,6697,2669
230,GOOGLE_SEARCH,2025-05-13,6850.74,3829,542
231,INSTA_REEL,2025-05-13,1506.39,31220,2361
232,REFERRAL,2025-05-13,1207.03,9969,2545
233,FB_JAN,2025-05-14,6426.45,12173,1240
234,GOOGLE_SEARCH,2025-05-14,6800.47,14426,610
235,INSTA_REEL,2025-05-14,14348.06,46766,676
236,REFERRAL,2025-05-14,1543.97,41539,1726
237,FB_JAN,2025-05-15,13296.74,34048,947
238,GOOGLE_SEARCH,2025-05-15,5950.38,49961,2893
239,INSTA_REEL,2025-05-15,9058.32,35460,1683
240,REFERRAL,2025-05-15,2032.23,2690,2419
241,FB_JAN,2025-05-16,3043.08,38757,65
242,GOOGLE_SEARCH,2025-05-16,4767.38,27674,1824
243,INSTA_REEL,2025-05-16,6532.09,32364,660
244,REFERRAL,2025-05-16,11792.73,17114,210
245,FB_JAN,2025-05-17,14453.97,4260,1845
246,GOOGLE_SEARCH,2025-05-17,3274.68,33667,2082
247,INSTA_REEL,2025-05-17,11369.38,9309,433
248,REFERRAL,2025-05-17,13338.43,9398,1339
249,FB_JAN,2025-05-18,1593.06,7614,2049
250,GOOGLE_SEARCH,2025-05-18,3827.06,22864,2008
251,INSTA_REEL,2025-05-18,12610.55,39012,1044
252,REFERRAL,2025-05-18,11641.39,42521,1774
253,FB_JAN,2025-05-19,9079.04,30474,1143
254,GOOGLE_SEARCH,2025-05-19,10749.89,36731,901
255,INSTA_REEL,2025-05-19,3967.0,46059,2653
256,REFERRAL,2025-05-19,9516.55,42088,752
257,FB_JAN,2025-05-20,9358.97,22558,2388
258,GOOGLE_SEARCH,2025-05-20,11286.98,49317,2963
259,INSTA_REEL,2025-05-20,7696.57,22632,2664
260,REFERRAL,2025-05-20,10455.18,39519,864
261,FB_JAN,2025-05-21,792.33,49632,2259
262,GOOGLE_SEARCH,2025-05-21,1126.55,45587,1728
263,INSTA_REEL,2025-05-21,6395.95,26001,1469
264,REFERRAL,2025-05-21,10330.43,16030,1297
265,FB_JAN,2025-05-22,11960.12,44322,830
266,GOOGLE_SEARCH,2025-05-22,7713.19,17954,1060
267,INSTA_REEL,2025-05-22,1440.15,10584,1740
268,REFERRAL,2025-05-22,14220.02,11728,682
269,FB_JAN,2025-05-23,9650.55,1707,1836
270,GOOGLE_SEARCH,2025-05-23,14738.81,8526,2528
271,INSTA_REEL,2025-05-23,6491.99,40011,501
272,REFERRAL,2025-05-23,5234.49,9725,1170
273,FB_JAN,2025-05-24,4669.2,6138,1286
274,GOOGLE_SEARCH,2025-05-24,13814.21,16670,60
275,INSTA_REEL,2025-05-24,4881.4,10986,831
276,REFERRAL,2025-05-24,11736.5,43509,783
277,FB_JAN,2025-05-25,5294.86,23452,2999
278,GOOGLE_SEARCH,2025-05-25,3445.23,44677,2805
279,INSTA_REEL,2025-05-25,11642.1,1679,1841
280,REFERRAL,2025-05-25,3601.78,45476,1022
281,FB_JAN,2025-05-26,10069.36,14404,1486
282,GOOGLE_SEARCH,2025-05-26,773.88,40333,890
283,INSTA_REEL,2025-05-26,5806.13,16994,695
284,REFERRAL,2025-05-26,7699.92,36845,1588
285,FB_JAN,2025-05-27,8483.81,4044,1669
286,GOOGLE_SEARCH,2025-05-27,11178.68,10791,2846
287,INSTA_REEL,2025-05-27,10599.19,32275,435
288,REFERRAL,2025-05-27,1387.85,17781,2837
289,FB_JAN,2025-05-28,10475.09,37883,1903
290,GOOGLE_SEARCH,2025-05-28,504.52,10242,910
291,INSTA_REEL,2025-05-28,4389.85,22121,2139
292,REFERRAL,2025-05-28,10795.38,1409,137
293,FB_JAN,2025-05-29,5543.91,13464,2342
294,GOOGLE_SEARCH,2025-05-29,3630.0,40410,2836
295,INSTA_REEL,2025-05-29,4677.49,21136,2607
296,REFERRAL,2025-05-29,7990.91,49952,2719
297,FB_JAN,2025-05-30,3671.21,38761,2267
298,GOOGLE_SEARCH,2025-05-30,11311.48,2515,2829
299,INSTA_REEL,2025-05-30,11557.17,43718,1220
300,REFERRAL,2025-05-30,8024.31,12637,2232
301,FB_JAN,2025-05-31,4854.63,40286,1837
302,GOOGLE_SEARCH,2025-05-31,12488.67,43890,858
303,INSTA_REEL,2025-05-31,1333.01,40591,2388
304,REFERRAL,2025-05-31,3452.24,9375,979
305,FB_JAN,2025-06-01,8201.46,10698,2443
306,GOOGLE_SEARCH,2025-06-01,8623.34,38889,631
307,INSTA_REEL,2025-06-01,663.52,26440,419
308,REFERRAL,2025-06-01,12223.29,23471,1396
309,FB_JAN,2025-06-02,6321.27,42002,1324
310,GOOGLE_SEARCH,2025-06-02,6213.77,10872,2474
311,INSTA_REEL,2025-06-02,6608.89,26873,2790
312,REFERRAL,2025-06-02,12251.28,30423,2097
313,FB_JAN,2025-06-03,14615.73,2060,80
314,GOOGLE_SEARCH,2025-06-03,12352.73,11153,1656
315,INSTA_REEL,2025-06-03,11821.85,38938,2135
316,REFERRAL,2025-06-03,12942.26,48340,733
317,FB_JAN,2025-06-04,12539.46,6068,2905
318,GOOGLE_SEARCH,2025-06-04,2383.66,12983,865
319,INSTA_REEL,2025-06-04,4413.49,13613,673
320,REFERRAL,2025-06-04,1267.95,43596,1282
321,FB_JAN,2025-06-05,14436.92,28228,2134
322,GOOGLE_SEARCH,2025-06-05,14308.94,10346,1148
323,INSTA_REEL,2025-06-05,1903.0,44323,2025
324,REFERRAL,2025-06-05,1033.37,21499,1379
325,FB_JAN,2025-06-06,12547.87,8776,1768
326,GOOGLE_SEARCH,2025-06-06,9688.62,48755,1747
327,INSTA_REEL,2025-06-06,13941.78,43109,1957
328,REFERRAL,2025-06-06,2738.01,47423,592
329,FB_JAN,2025-06-07,3005.13,22111,825
330,GOOGLE_SEARCH,2025-06-07,2010.61,13292,1436
331,INSTA_REEL,2025-06-07,13576.24,42864,2543
332,REFERRAL,2025-06-07,4876.34,6161,2182
333,FB_JAN,2025-06-08,8818.04,27019,1655
334,GOOGLE_SEARCH,2025-06-08,8117.94,46357,2162
335,INSTA_REEL,2025-06-08,7792.79,17883,1542
336,REFERRAL,2025-06-08,4221.62,47267,709
337,FB_JAN,2025-06-09,1361.44,22004,2686
338,GOOGLE_SEARCH,2025-06-09,13047.89,32714,1180
339,INSTA_REEL,2025-06-09,7191.77,44923,1096
340,REFERRAL,2025-06-09,10918.56,10842,1703
341,FB_JAN,2025-06-10,5310.0,23430,913
342,GOOGLE_SEARCH,2025-06-10,5758.33,30204,851
343,INSTA_REEL,2025-06-10,9402.62,21993,558
344,REFERRAL,2025-06-10,13952.91,35152,381
345,FB_JAN,2025-06-11,3257.31,12679,1039
346,GOOGLE_SEARCH,2025-06-11,1134.56,33995,2974
