subscription_id,user_id,plan_id,trial_start_timestamp,auto_renew,cancel_requested_timestamp,cancel_effective_timestamp,cancellation_reason
1,759,3,2026-06-12 00:00:00,1,,,
2,786,1,2025-03-20 00:00:00,1,,,
3,1797,2,2026-02-26 00:00:00,1,2026-04-14 00:00:00,2026-04-16 00:00:00,found_alternative
4,1684,3,2025-04-17 00:00:00,0,,,
5,1084,2,2026-07-02 00:00:00,1,2026-08-16 00:00:00,2026-08-22 00:00:00,found_alternative
6,862,4,2026-02-20 00:00:00,1,,,
7,1434,1,2025-04-14 00:00:00,1,,,
8,939,1,2025-04-09 00:00:00,0,,,
9,1492,3,2025-05-27 00:00:00,1,2025-08-15 00:00:00,2025-08-21 00:00:00,technical_issues
10,1503,1,2026-07-22 00:00:00,1,,,
11,1513,1,2025-05-01 00:00:00,1,,,
12,1368,1,2025-06-05 00:00:00,1,,,
13,743,4,2026-08-07 00:00:00,1,,,
14,934,4,2025-11-19 00:00:00,0,,,
15,303,2,2025-05-02 00:00:00,1,2025-07-16 00:00:00,2025-07-20 00:00:00,not_enough_content
16,553,4,2025-12-04 00:00:00,0,2026-04-24 00:00:00,2026-04-27 00:00:00,found_alternative
17,399,2,2025-09-30 00:00:00,1,2025-10-15 00:00:00,2025-10-22 00:00:00,too_expensive
18,1123,3,2025-08-22 00:00:00,0,2026-02-09 00:00:00,2026-02-09 00:00:00,too_expensive
19,818,2,2025-12-22 00:00:00,1,,,
20,1087,4,2026-07-24 00:00:00,1,,,
21,1367,2,2025-08-23 00:00:00,1,,,
22,712,3,2026-05-14 00:00:00,1,,,
23,1324,1,2025-08-28 00:00:00,0,,,
24,666,3,2025-07-25 00:00:00,1,,,
25,518,2,2026-06-01 00:00:00,1,,,
26,156,2,2025-11-30 00:00:00,0,,,
27,782,3,2026-02-16 00:00:00,1,,,
28,551,3,2025-10-26 00:00:00,0,,,
29,1008,3,2025-06-25 00:00:00,1,2025-11-04 00:00:00,2025-11-07 00:00:00,too_expensive
30,337,3,2026-02-25 00:00:00,1,,,
31,1081,1,2025-05-05 00:00:00,1,,,
32,880,3,2026-02-06 00:00:00,1,,,
33,1514,1,2026-02-04 00:00:00,0,2026-06-21 00:00:00,2026-06-23 00:00:00,technical_issues
34,981,2,2025-06-18 00:00:00,1,,,
