user_id,signup_timestamp,signup_platform,campaign_id,trial_eligible,country
1,2025-07-09 00:00:00,ios,,1,IN
2,2025-04-11 00:00:00,android,INSTA_REEL,0,IN
3,2025-12-23 00:00:00,web,REFERRAL,1,IN
4,2025-11-22 00:00:00,smart_tv,FB_JAN,0,IN
5,2025-10-31 00:00:00,smart_tv,INSTA_REEL,1,IN
6,2025-08-06 00:00:00,web,INSTA_REEL,0,IN
7,2025-06-29 00:00:00,android,FB_JAN,1,IN
8,2025-06-14 00:00:00,web,REFERRAL,1,IN
9,2026-05-23 00:00:00,android,,1,IN
10,2025-04-18 00:00:00,android,INSTA_REEL,0,IN
11,2025-04-16 00:00:00,android,FB_JAN,1,IN
12,2025-06-20 00:00:00,ios,,1,IN
13,2025-10-26 00:00:00,web,REFERRAL,1,IN
14,2025-11-10 00:00:00,ios,INSTA_REEL,1,IN
15,2026-08-16 00:00:00,android,,0,IN
16,2025-04-13 00:00:00,android,,1,IN
17,2025-10-06 00:00:00,smart_tv,GOOGLE_SEARCH,0,IN
18,2026-05-20 00:00:00,android,FB_JAN,1,IN
19,2025-10-28 00:00:00,ios,,0,IN
20,2026-06-19 00:00:00,android,REFERRAL,1,IN
21,2025-12-26 00:00:00,web,GOOGLE_SEARCH,1,IN
22,2025-03-23 00:00:00,ios,,1,IN
23,2025-08-27 00:00:00,android,,1,IN
24,2026-05-23 00:00:00,android,REFERRAL,1,IN
25,2026-02-28 00:00:00,ios,GOOGLE_SEARCH,1,IN
26,2025-12-26 00:00:00,ios,GOOGLE_SEARCH,0,IN
27,2025-08-23 00:00:00,android,FB_JAN,1,IN
28,2025-10-23 00:00:00,smart_tv,,0,IN
29,2026-02-24 00:00:00,android,FB_JAN,1,IN
30,2025-06-29 00:00:00,android,GOOGLE_SEARCH,1,IN
31,2025-06-19 00:00:00,smart_tv,FB_JAN,1,IN
32,2026-04-10 00:00:00,android,REFERRAL,0,IN
33,2025-06-24 00:00:00,ios,INSTA_REEL,1,IN
34,2026-03-19 00:00:00,android,REFERRAL,1,IN
35,2026-03-04 00:00:00,android,GOOGLE_SEARCH,1,IN
36,2025-12-12 00:00:00,smart_tv,REFERRAL,1,IN
37,2025-04-30 00:00:00,android,GOOGLE_SEARCH,1,IN
38,2026-06-30 00:00:00,web,REFERRAL,0,IN
39,2025-07-22 00:00:00,android,,1,IN
40,2026-04-08 00:00:00,android,,1,IN
41,2025-06-05 00:00:00,android,REFERRAL,0,IN
42,2026-01-11 00:00:00,ios,FB_JAN,0,IN
43,2026-03-22 00:00:00,android,GOOGLE_SEARCH,0,IN
44,2025-09-29 00:00:00,web,,1,IN
45,2025-05-27 00:00:00,ios,GOOGLE_SEARCH,1,IN
46,2025-05-02 00:00:00,smart_tv,,0,IN
47,2025-11-05 00:00:00,android,INSTA_REEL,1,IN
48,2026-01-07 00:00:00,web,REFERRAL,0,IN
49,2025-06-06 00:00:00,web,,1,IN
50,2025-11-10 00:00:00,web,REFERRAL,0,IN
51,2025-06-28 00:00:00,web,INSTA_REEL,1,IN
52,2026-04-10 00:00:00,web,GOOGLE_SEARCH,1,IN
53,2025-12-26 00:00:00,ios,REFERRAL,1,IN
54,2026-06-24 00:00:00,android,,1,IN
55,2026-03-25 00:00:00,android,INSTA_REEL,1,IN
56,2025-08-30 00:00:00,smart_tv,,1,IN
57,2026-03-31 00:00:00,ios,INSTA_REEL,0,IN
58,2026-03-15 00:00:00,web,INSTA_REEL,0,IN
59,2025-10-17 00:00:00,ios,,1,IN
60,2025-12-15 00:00:00,android,REFERRAL,0,IN
61,2025-05-29 00:00:00,android,GOOGLE_SEARCH,0,IN
62,2025-09-08 00:00:00,ios,GOOGLE_SEARCH,1,IN
63,2025-11-22 00:00:00,android,INSTA_REEL,1,IN
64,2025-08-31 00:00:00,android,,1,IN
65,2026-07-03 00:00:00,ios,INSTA_REEL,0,IN
66,2026-04-09 00:00:00,android,GOOGLE_SEARCH,0,IN
67,2025-12-18 00:00:00,ios,INSTA_REEL,1,IN
68,2025-10-27 00:00:00,android,INSTA_REEL,0,IN
69,2026-02-12 00:00:00,web,GOOGLE_SEARCH,0,IN
70,2025-05-13 00:00:00,android,REFERRAL,1,IN
71,2025-11-06 00:00:00,ios,INSTA_REEL,1,IN
72,2025-04-18 00:00:00,android,REFERRAL,1,IN
73,2026-02-03 00:00:00,android,INSTA_REEL,0,IN
74,2026-05-01 00:00:00,android,,0,IN
75,2025-12-16 00:00:00,ios,INSTA_REEL,1,IN
76,2025-05-23 00:00:00,ios,INSTA_REEL,0,IN
77,2025-10-19 00:00:00,android,FB_JAN,1,IN
78,2026-02-02 00:00:00,ios,,1,IN
79,2025-10-20 00:00:00,web,,1,IN
80,2026-08-10 00:00:00,web,REFERRAL,1,IN
81,2026-04-26 00:00:00,android,REFERRAL,0,IN
82,2026-06-29 00:00:00,ios,INSTA_REEL,1,IN
83,2025-08-10 00:00:00,android,GOOGLE_SEARCH,1,IN
84,2025-12-13 00:00:00,android,INSTA_REEL,1,IN
85,2025-08-06 00:00:00,smart_tv,FB_JAN,0,IN
86,2025-11-24 00:00:00,android,INSTA_REEL,0,IN
87,2025-12-11 00:00:00,ios,FB_JAN,1,IN
88,2026-05-29 00:00:00,ios,INSTA_REEL,1,IN
89,2026-04-29 00:00:00,web,REFERRAL,1,IN
90,2026-03-22 00:00:00,ios,INSTA_REEL,0,IN
91,2025-10-27 00:00:00,android,REFERRAL,1,IN
92,2025-08-05 00:00:00,android,GOOGLE_SEARCH,1,IN
93,2026-08-20 00:00:00,ios,GOOGLE_SEARCH,1,IN
94,2026-08-04 00:00:00,android,,1,IN
95,2025-06-18 00:00:00,android,INSTA_REEL,0,IN
96,2025-05-04 00:00:00,android,,1,IN
97,2025-07-07 00:00:00,android,INSTA_REEL,0,IN
98,2025-08-20 00:00:00,android,GOOGLE_SEARCH,1,IN
99,2025-08-27 00:00:00,android,FB_JAN,1,IN
100,2026-05-23 00:00:00,ios,,1,IN
101,2025-05-21 00:00:00,ios,,1,IN
102,2026-04-15 00:00:00,web,GOOGLE_SEARCH,0,IN
103,2026-04-11 00:00:00,android,GOOGLE_SEARCH,1,IN
104,2026-07-09 00:00:00,android,FB_JAN,1,IN
105,2025-11-29 00:00:00,android,,0,IN
106,2025-03-28 00:00:00,ios,GOOGLE_SEARCH,0,IN
107,2025-07-12 00:00:00,web,GOOGLE_SEARCH,1,IN
108,2025-12-15 00:00:00,android,FB_JAN,0,IN
109,2026-02-28 00:00:00,smart_tv,FB_JAN,1,IN
110,2025-07-09 00:00:00,android,REFERRAL,1,IN
111,2026-01-11 00:00:00,ios,INSTA_REEL,1,IN
112,2026-06-05 00:00:00,web,REFERRAL,0,IN
113,2025-08-25 00:00:00,web,FB_JAN,1,IN
114,2026-06-24 00:00:00,web,GOOGLE_SEARCH,1,IN
115,2025-03-20 00:00:00,web,FB_JAN,0,IN
116,2025-12-11 00:00:00,android,,1,IN
117,2026-08-11 00:00:00,web,GOOGLE_SEARCH,1,IN
118,2025-09-15 00:00:00,android,REFERRAL,1,IN
119,2026-08-18 00:00:00,web,REFERRAL,0,IN
120,2025-07-03 00:00:00,ios,REFERRAL,1,IN
121,2026-01-16 00:00:00,web,GOOGLE_SEARCH,0,IN
122,2026-08-18 00:00:00,ios,INSTA_REEL,0,IN
123,2025-10-06 00:00:00,ios,INSTA_REEL,1,IN
124,2025-08-20 00:00:00,ios,INSTA_REEL,1,IN
125,2026-04-03 00:00:00,web,FB_JAN,0,IN
126,2025-08-29 00:00:00,android,FB_JAN,0,IN
127,2025-03-17 00:00:00,android,,0,IN
128,2026-02-11 00:00:00,android,GOOGLE_SEARCH,0,IN
129,2026-07-30 00:00:00,android,,0,IN
130,2025-04-05 00:00:00,web,FB_JAN,0,IN
131,2025-07-09 00:00:00,android,GOOGLE_SEARCH,1,IN
132,2026-03-23 00:00:00,smart_tv,REFERRAL,1,IN
133,2026-01-25 00:00:00,android,GOOGLE_SEARCH,1,IN
134,2025-11-17 00:00:00,android,FB_JAN,1,IN
135,2025-05-15 00:00:00,web,REFERRAL,0,IN
136,2025-11-18 00:00:00,ios,REFERRAL,1,IN
137,2025-06-05 00:00:00,ios,GOOGLE_SEARCH,1,IN
138,2025-06-12 00:00:00,ios,INSTA_REEL,1,IN
139,2026-07-27 00:00:00,web,FB_JAN,1,IN
140,2025-05-26 00:00:00,android,FB_JAN,1,IN
141,2025-07-23 00:00:00,smart_tv,INSTA_REEL,1,IN
142,2025-07-26 00:00:00,smart_tv,,0,IN
143,2026-07-16 00:00:00,ios,,1,IN
144,2025-09-02 00:00:00,android,FB_JAN,1,IN
145,2025-12-13 00:00:00,ios,INSTA_REEL,1,IN
146,2026-05-24 00:00:00,android,INSTA_REEL,1,IN
147,2025-10-19 00:00:00,android,REFERRAL,0,IN
148,2025-10-08 00:00:00,android,,1,IN
149,2026-01-30 00:00:00,ios,,1,IN
150,2026-04-29 00:00:00,web,REFERRAL,1,IN
151,2026-04-03 00:00:00,web,GOOGLE_SEARCH,1,IN
152,2026-06-08 00:00:00,web,,0,IN
153,2026-08-28 00:00:00,android,REFERRAL,1,IN
