view_id,user_id,content_id,view_timestamp,watch_duration_minutes,playback_failure,search_to_play
1,1086,50,2025-10-11 00:55:00,65,0,0
2,1270,300,2026-06-10 00:26:00,17,0,0
3,660,220,2025-11-09 00:25:00,9,0,1
4,590,224,2026-09-01 00:44:00,5,0,1
5,1470,342,2026-08-25 00:38:00,28,0,0
6,1385,396,2026-01-05 00:45:00,21,0,1
7,1029,6,2026-06-29 00:19:00,16,0,1
8,1692,274,2026-07-24 00:04:00,3,0,0
9,1171,143,2026-06-17 00:23:00,18,0,0
10,1675,34,2026-01-14 00:14:00,1,0,0
11,1729,361,2025-11-24 00:38:00,3,0,1
12,71,56,2026-06-24 00:26:00,1,0,0
13,772,365,2026-06-29 00:33:00,22,1,0
14,426,340,2025-12-20 00:54:00,62,0,1
15,688,24,2026-04-11 00:31:00,28,0,1
16,1770,327,2026-01-27 00:46:00,7,0,0
17,683,483,2025-06-19 00:14:00,40,0,0
18,1770,198,2026-05-28 00:03:00,23,0,1
19,847,94,2025-10-09 00:51:00,51,0,0
20,192,127,2026-06-12 00:30:00,19,0,0
21,333,404,2026-09-07 00:43:00,30,0,0
22,77,131,2026-08-16 00:49:00,22,0,0
23,1461,23,2026-08-26 00:25:00,69,0,1
24,1717,363,2026-08-13 00:41:00,9,0,0
25,483,266,2025-06-02 00:58:00,5,0,0
26,1067,10,2026-01-24 00:54:00,17,1,0
27,884,495,2026-04-20 00:36:00,39,0,0
28,254,232,2026-05-18 00:47:00,19,0,0
29,674,50,2026-04-14 00:23:00,28,0,1
30,1720,78,2026-07-20 00:12:00,19,0,1
31,1565,329,2026-04-21 00:13:00,55,0,0
32,1366,127,2026-05-13 00:28:00,31,0,0
33,329,263,2026-08-19 00:37:00,8,0,0
34,895,387,2025-12-05 00:48:00,10,0,0
35,1314,478,2026-07-20 00:18:00,7,0,0
36,1679,235,2026-07-04 00:28:00,27,0,0
37,1400,277,2026-08-27 00:30:00,24,0,0
38,807,377,2026-03-18 00:50:00,56,0,0
39,872,296,2025-06-25 00:33:00,11,0,1
40,1126,100,2026-03-28 00:48:00,4,0,0
41,442,363,2025-10-28 00:56:00,24,0,0
42,1269,388,2025-10-04 00:07:00,15,0,0
43,1296,193,2025-10-28 00:41:00,18,1,1
44,804,92,2026-02-26 00:28:00,1,0,0
45,1585,497,2026-08-11 00:46:00,1,0,1
46,825,136,2026-04-30 00:29:00,41,0,1
47,951,164,2025-10-19 00:39:00,4,0,0
48,1248,469,2026-08-08 00:05:00,1,0,0
49,900,231,2026-08-01 00:01:00,20,0,0
50,1782,436,2025-12-24 00:31:00,32,0,0
51,1213,377,2026-01-20 00:24:00,37,0,0
52,466,119,2026-08-11 00:38:00,5,0,0
53,1735,54,2026-09-03 00:01:00,32,0,0
54,1584,75,2026-01-19 00:14:00,17,0,0
55,257,482,2026-08-22 00:26:00,10,0,1
56,909,456,2026-07-31 00:13:00,12,0,0
57,1538,199,2026-09-06 00:27:00,50,0,0
58,1540,252,2025-12-08 00:19:00,48,0,0
59,1294,70,2026-08-18 00:03:00,9,1,0
60,575,278,2026-09-04 00:47:00,11,0,0
61,259,106,2025-12-21 00:58:00,19,0,0
62,1453,325,2026-02-06 00:05:00,1,0,0
63,1385,15,2026-04-19 00:22:00,38,0,1
64,1398,206,2026-08-16 00:13:00,2,0,0
65,329,221,2026-08-21 00:39:00,10,0,0
66,240,168,2025-12-20 00:48:00,18,0,1
67,1450,148,2026-05-16 00:26:00,81,0,1
68,1497,131,2026-08-30 00:08:00,19,0,0
69,1018,25,2026-08-30 00:19:00,29,0,1
70,1232,397,2026-07-22 00:24:00,3,0,0
71,1078,162,2026-08-31 00:24:00,1,0,1
72,487,92,2026-08-16 00:06:00,1,0,0
73,1148,46,2026-03-30 00:56:00,4,0,1
74,1433,263,2025-11-26 00:57:00,6,0,1
75,530,277,2026-06-25 00:16:00,61,0,0
76,1514,300,2026-04-21 00:07:00,11,0,1
77,204,153,2026-05-25 00:01:00,16,0,1
78,1286,5,2026-05-13 00:57:00,72,0,0
79,1114,478,2026-07-30 00:09:00,51,0,1
80,1722,419,2026-06-25 00:50:00,3,0,0
81,1400,108,2026-08-10 00:11:00,59,0,1
82,1504,10,2026-07-02 00:36:00,3,0,0
83,300,147,2026-01-22 00:58:00,48,0,1
84,1301,355,2026-08-19 00:02:00,2,0,1
85,1080,487,2026-09-04 00:46:00,5,0,0
86,545,90,2026-05-29 00:26:00,7,0,1
87,605,197,2026-02-20 00:00:00,1,0,1
88,1673,76,2026-04-18 00:00:00,1,0,1
89,1263,457,2026-02-25 00:01:00,2,0,0
90,1310,31,2026-07-24 00:45:00,39,1,0
91,1308,139,2026-08-28 00:49:00,14,0,0
92,1593,178,2026-05-13 00:34:00,56,0,0
93,229,35,2026-05-30 00:11:00,19,0,0
94,1705,407,2026-05-16 00:43:00,5,0,1
95,226,164,2026-07-20 00:54:00,24,0,0
96,1738,368,2026-05-15 00:24:00,14,0,1
97,76,472,2025-12-18 00:15:00,39,0,1
98,197,65,2026-03-28 00:46:00,29,1,0
99,544,364,2025-10-15 00:10:00,5,0,0
100,1067,237,2026-05-24 00:26:00,10,0,1
101,615,231,2026-04-07 00:13:00,1,0,0
102,718,194,2026-03-28 00:17:00,45,0,1
103,32,163,2026-09-07 00:55:00,11,0,0
104,1749,224,2026-03-12 00:52:00,10,0,1
105,1434,415,2026-03-28 00:58:00,26,1,0
106,1730,423,2026-08-31 00:43:00,24,0,1
107,928,15,2026-06-30 00:39:00,1,0,0
108,1765,170,2026-08-24 00:09:00,16,0,1
109,517,122,2026-02-16 00:56:00,33,0,0
110,1558,240,2025-08-25 00:37:00,3,0,0
111,916,148,2026-08-16 00:02:00,2,0,0
112,1398,387,2026-06-27 00:44:00,8,1,0
113,1339,469,2026-01-08 00:32:00,35,1,0
114,987,139,2026-08-12 00:14:00,57,0,1
115,1020,351,2026-05-13 00:40:00,39,0,0
116,1322,413,2026-09-06 00:10:00,40,1,1
117,1053,494,2026-01-10 00:21:00,1,0,0
118,1498,139,2025-10-06 00:13:00,24,0,1
119,1113,486,2026-04-07 00:23:00,14,0,0
120,1592,172,2026-02-26 00:20:00,25,0,0
121,1273,27,2026-07-03 00:27:00,12,0,1
122,389,427,2026-02-23 00:04:00,7,0,0
123,246,82,2026-07-10 00:21:00,15,0,1
124,1457,57,2026-08-03 00:08:00,9,0,0
125,626,169,2026-03-02 00:21:00,20,0,0
126,1638,436,2026-05-17 00:37:00,1,0,1
127,1271,32,2026-08-03 00:18:00,12,0,1
128,638,327,2026-08-14 00:36:00,2,0,0
129,1573,316,2025-10-21 00:18:00,36,1,1
130,824,185,2026-01-02 00:23:00,20,0,1
131,1317,330,2025-09-27 00:52:00,40,0,0
132,1278,120,2026-07-15 00:51:00,30,0,1
133,1176,148,2026-04-02 00:44:00,1,0,1
134,1420,264,2026-04-21 00:31:00,11,0,0
135,652,18,2026-06-10 00:37:00,20,0,0
136,454,268,2026-08-06 00:42:00,36,0,0
137,1328,272,2026-07-11 00:58:00,2,0,1
138,27,264,2025-10-02 00:00:00,1,0,1
139,1499,496,2026-07-04 00:23:00,9,0,0
140,165,334,2026-07-12 00:39:00,5,0,1
141,1164,389,2025-12-22 00:42:00,20,0,1
142,344,150,2025-11-25 00:38:00,33,1,0
143,66,278,2026-09-02 00:11:00,13,0,0
144,1284,364,2026-08-01 00:18:00,13,0,0
145,553,475,2026-05-27 00:34:00,7,0,0
146,1462,464,2026-02-13 00:32:00,3,0,0
147,1488,130,2026-07-17 00:15:00,4,0,1
148,728,439,2025-11-18 00:55:00,8,0,1
149,824,39,2026-02-06 00:32:00,5,0,1
150,1436,499,2025-11-22 00:01:00,2,0,0
151,1229,260,2026-08-20 00:43:00,12,0,0
152,307,249,2026-02-03 00:49:00,10,0,1
153,766,336,2026-04-08 00:22:00,49,0,0
154,855,33,2026-06-05 00:20:00,12,0,0
155,746,123,2026-06-15 00:47:00,4,0,0
156,156,174,2026-01-15 00:21:00,47,0,1
157,727,63,2026-01-11 00:39:00,42,0,1
158,151,167,2026-06-09 00:38:00,34,0,1
159,1748,401,2026-08-28 00:09:00,32,0,1
160,1112,434,2026-07-08 00:35:00,15,0,1
161,1536,413,2026-09-05 00:35:00,9,0,1
162,1662,160,2026-03-10 00:18:00,29,0,1
163,1186,365,2025-09-29 00:21:00,91,0,1
164,1670,492,2026-07-20 00:54:00,7,0,0
165,1593,225,2026-08-25 00:59:00,11,1,0
166,1262,216,2026-09-07 00:57:00,13,0,1
167,308,269,2026-07-28 00:23:00,1,0,0
168,369,95,2026-02-01 00:08:00,1,0,1
169,1711,319,2026-04-13 00:59:00,2,1,0
170,1481,12,2026-08-23 00:04:00,6,0,0
171,648,27,2025-12-21 00:33:00,13,0,1
172,1087,399,2026-08-28 00:32:00,3,0,0
173,852,459,2026-01-14 00:48:00,15,1,1
174,821,77,2026-07-17 00:15:00,27,0,0
175,1657,497,2026-08-01 00:18:00,25,0,0
176,1576,111,2026-03-26 00:39:00,1,0,1
177,1251,465,2026-09-07 00:50:00,2,0,0
178,1362,481,2026-06-07 00:16:00,13,0,0
179,1003,109,2025-08-06 00:21:00,20,0,0
180,1446,290,2025-09-13 00:43:00,41,0,0
181,725,130,2026-07-07 00:49:00,5,0,1
182,674,403,2026-06-01 00:23:00,9,0,1
183,301,71,2026-06-28 00:50:00,11,0,0
184,461,424,2026-08-02 00:06:00,12,1,0
185,234,476,2026-09-04 00:03:00,70,0,0
186,94,176,2026-08-07 00:27:00,9,0,0
187,1618,406,2026-05-16 00:08:00,2,0,0
188,316,449,2026-05-13 00:45:00,16,0,0
189,1757,208,2026-04-16 00:34:00,27,0,0
190,1106,93,2026-08-12 00:12:00,4,0,0
191,610,216,2026-06-13 00:28:00,5,0,0
192,692,112,2026-07-08 00:25:00,13,0,0
193,1223,349,2025-12-30 00:04:00,12,0,0
194,773,255,2026-08-05 00:44:00,33,0,0
195,697,251,2026-06-22 00:30:00,46,0,1
196,1589,347,2026-03-28 00:47:00,22,0,1
197,1532,283,2026-07-08 00:35:00,7,0,0
198,632,206,2026-08-29 00:26:00,14,1,1
199,1248,13,2026-02-07 00:02:00,7,0,1
200,625,284,2026-04-06 00:44:00,11,0,1
201,1175,471,2026-06-27 00:26:00,3,0,1
202,516,482,2025-12-12 00:19:00,7,0,0
203,1678,187,2025-06-28 00:51:00,2,1,0
204,1625,88,2026-02-14 00:11:00,9,0,0
205,1505,364,2026-06-25 00:50:00,14,0,0
206,1503,60,2026-09-01 00:59:00,1,0,1
207,495,368,2026-08-31 00:48:00,11,0,0
208,969,367,2025-12-08 00:34:00,7,0,1
209,59,355,2026-08-05 00:53:00,8,0,0
210,500,30,2026-06-26 00:35:00,3,0,1
211,636,408,2026-05-21 00:32:00,11,0,1
212,1091,447,2026-09-03 00:28:00,13,0,0
213,332,424,2025-10-09 00:57:00,6,0,0
214,206,41,2026-07-21 00:21:00,6,0,0
215,30,184,2026-08-17 00:04:00,27,0,0
216,1572,116,2026-06-10 00:37:00,11,0,0
217,1079,114,2026-08-15 00:44:00,6,0,0
218,621,421,2026-08-03 00:15:00,12,0,1
219,193,330,2026-06-30 00:01:00,18,0,0
220,1574,8,2026-04-14 00:13:00,42,0,1
221,585,494,2026-08-02 00:17:00,44,0,0
222,1595,135,2026-09-06 00:34:00,19,0,0
223,271,427,2026-08-20 00:13:00,3,1,1
224,937,178,2026-02-19 00:53:00,3,0,1
225,326,305,2026-07-23 00:34:00,11,0,0
226,875,156,2026-05-23 00:28:00,26,0,1
227,403,144,2026-03-26 00:02:00,7,0,0
228,616,282,2025-08-15 00:35:00,20,0,1
229,1157,76,2026-07-10 00:39:00,3,0,0
230,742,210,2026-09-06 00:30:00,36,0,0
231,1607,202,2025-12-27 00:36:00,7,1,0
232,1450,239,2026-06-15 00:28:00,25,0,1
233,492,269,2026-05-25 00:48:00,27,1,1
234,135,380,2026-07-28 00:48:00,15,0,0
235,1522,315,2026-02-17 00:57:00,4,0,0
236,776,250,2026-08-19 00:40:00,40,0,0
237,1578,194,2026-04-02 00:01:00,18,0,0
238,107,25,2025-07-26 00:10:00,9,0,0
239,308,480,2026-02-06 00:19:00,23,0,1
240,323,261,2025-12-30 00:34:00,49,0,0
241,49,122,2025-08-31 00:49:00,4,0,0
242,1009,246,2026-08-11 00:09:00,50,0,1
243,409,490,2026-08-20 00:39:00,6,0,1
244,1282,272,2026-08-27 00:14:00,42,0,0
245,77,410,2025-12-28 00:26:00,1,0,0
246,550,190,2025-09-25 00:30:00,5,0,0
247,1388,466,2026-06-28 00:50:00,12,0,1
248,438,11,2026-07-12 00:14:00,10,0,0
249,1269,468,2026-07-11 00:34:00,1,0,0
250,1056,321,2025-10-30 00:17:00,6,0,1
251,377,263,2026-08-31 00:18:00,51,0,1
252,1796,270,2026-08-18 00:49:00,57,0,0
253,1600,448,2026-07-15 00:31:00,18,0,0
254,531,384,2026-05-08 00:25:00,8,0,1
255,549,108,2026-08-06 00:47:00,39,1,0
256,1686,356,2026-06-23 00:12:00,63,0,0
257,1330,280,2026-04-08 00:16:00,18,0,0
258,1040,8,2025-10-18 00:03:00,15,0,0
259,1717,53,2026-03-20 00:45:00,56,0,0
260,226,79,2026-06-18 00:01:00,25,0,0
261,926,87,2026-08-11 00:04:00,35,0,0
262,559,294,2026-05-25 00:22:00,30,0,0
263,1737,381,2026-03-21 00:19:00,30,1,1
264,154,428,2026-07-07 00:58:00,41,0,0
265,1647,171,2026-08-23 00:50:00,7,0,1
266,1702,134,2026-01-07 00:17:00,43,0,1
267,522,139,2025-06-29 00:02:00,110,0,1
268,677,145,2026-04-11 00:15:00,47,0,0
269,1097,171,2026-04-16 00:15:00,1,0,1
270,1385,459,2026-06-01 00:54:00,14,0,1
271,45,52,2026-01-09 00:54:00,11,0,0
272,1789,75,2026-01-17 00:40:00,9,0,0
273,49,65,2026-03-11 00:58:00,43,0,0
274,1218,63,2026-09-02 00:43:00,17,0,0
275,1187,217,2025-12-27 00:46:00,12,0,0
276,535,190,2026-08-05 00:30:00,1,1,0
277,504,169,2026-01-03 00:38:00,10,0,1
278,773,110,2026-08-05 00:01:00,9,0,0
279,1194,111,2026-06-30 00:34:00,9,1,0
280,1466,175,2026-09-07 00:15:00,21,0,0
281,1498,112,2026-03-18 00:12:00,1,0,0
282,1460,64,2026-07-09 00:55:00,37,1,0
283,60,118,2026-05-22 00:18:00,1,0,0
284,1008,65,2026-08-09 00:54:00,21,0,1
285,661,342,2025-07-28 00:02:00,3,0,1
286,93,225,2026-08-25 00:41:00,12,1,0
287,1338,480,2026-04-20 00:29:00,14,0,0
288,356,83,2026-08-02 00:58:00,5,0,0
289,545,227,2026-07-12 00:09:00,5,0,1
290,91,432,2026-08-28 00:58:00,1,0,0
291,597,240,2026-08-25 00:28:00,40,0,1
292,153,118,2026-09-06 00:28:00,36,0,1
293,1258,408,2026-01-07 00:09:00,3,0,1
294,873,363,2026-08-02 00:22:00,51,0,0
295,851,202,2026-06-16 00:17:00,57,0,1
296,506,487,2026-08-23 00:39:00,28,0,0
297,1800,131,2026-08-23 00:44:00,5,1,0
298,1787,80,2026-08-31 00:44:00,29,0,1
299,1016,106,2026-07-02 00:50:00,16,0,0
300,575,167,2026-09-02 00:47:00,1,0,0
301,216,335,2025-12-22 00:48:00,25,0,1
